advertised_rent,posted_to_website,posted_to_internet,property,property_name,amenities,lockbox_enabled,affordable_program,address,street,street2,city,state,zip,unit,unit_tags,unit_type,bed_and_bath,sqft,unit_status,rent_ready,days_vacant,last_rent,schd_rent,new_rent,last_move_in,last_move_out,available_on,next_move_in,description,amenities_price,computed_market_rent,ready_for_showing_on,unit_turn_target_date,property_id,unit_id,contact
1850,Yes,Yes,"1033 Sourgum St - 1033 Sourgum St Princeton, TX 75407",1033 Sourgum St,,Yes,,"1033 Sourgum St Princeton, TX 75407",1033 Sourgum St,,Princeton,TX,75407,1033 Sourgum St,,,4/2,1667,Vacant-Unrented,Yes,6,2093,1850,,2024-07-29,2026-06-07,2026-06-08,,,0,1850,2026-06-08,2026-06-17,1730,"Adari, Venkata Eswara",Husna  Siddiqui: husna@vprealtyservices.com: 903-751-5965 (#5)
1995,Yes,Yes,"104 Omaha Ln  (City and HOA Reg must) - 104 Omaha Ln Caddo Mills, TX 75135",104 Omaha Ln  (City and HOA Reg must),,No,,"104 Omaha Ln Caddo Mills, TX 75135",104 Omaha Ln,,Caddo Mills,TX,75135,104 Omaha Ln  (City and HOA Reg must),,,4/2,1583,Vacant-Unrented,Yes,10,1995,1995,,2024-04-14,2026-05-31,2026-06-10,,"The home is occupied. Showings will be starting afterÂ April 4th, 2024 or you can reach out to Anjali at 972-591-8075 or via email at anjali@vprealtyservices.com. If you have an agent, please use Broker Bay at (800) 257-1242 for the showing.

This home features 4 bedrooms, 2 baths and a 2 car garage. Open floorplan design is great for entertaining and wait till you see this backyard with an extended large concrete patio. This kitchen has a nice-sized pantry, lots of cabinets, granite countertops, and a breakfast bar island. Split primary bedroom with large walk-in closet, bath with shower, and built-in shelves. The recessed lights are great in this home. Pretty neutral colors throughout. Desirable Caddo Mills ISD with Kathryn Griffis Elementary in the neighborhood. Minutes to Downtown Royse City for restaurants and shopping or go a little further east to Greenville. Be a part of this growing community where you can see and hear the sound of country living all around town.

- The home will be available on April 4th, 2024. 
- Homeowners' Association (HOA) fees are covered by the owners
- Tenants Need to bring Washer-Dryer-Refrigerator 
- No housing vouchers or Section 8
- Application fee of $65 per adult
- Apply online at vprealtyservices.com (No TAR applications)
- Please mention your broker's name and number in the online application if applicable

(PET POLICY):
- Pets are welcome. The pet deposit is $600 for each pet, and it is refundable.

(REQUIREMENT):
- The Credit requirement is on a case-by-case basis. If the credit scores are lower then more deposits may be needed
- Rental history, income, background, and credit history will be verified
- Monthly income must be at least 3 times the monthly rent.

(DEPOSIT):
- The deposit is a minimum of one month's rent, subject to case-by-case evaluation and credit assessment.
- Qualification in the slides below

Please note: If the home is not listed on the VP Realty website, it means it has been leased.

Questions for this home:
Call Anjali Sangtani: at 972-591-8075, or anjali@vprealtyservices.com
Text 214 597 0294 or leave VM for a live agent

To begin the application process and review the qualification criteria, please visit the following link:
https://tinyurl.com/ycksezpk

Don't miss out on this incredible opportunity to secure this beautiful new home. Apply now and make it yours!",0,1995,2026-06-04,2026-06-10,1656,"Shah, Vinit",Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075 (#11)
1995,No,No,"106 Sunberry Drive, - 106 Sunberry Drive, Caddo Mills, TX 75135","106 Sunberry Drive,",,Yes,,"106 Sunberry Drive, Caddo Mills, TX 75135","106 Sunberry Drive,",,Caddo Mills,TX,75135,"106 Sunberry Drive,",,,4/2.00,1902,Vacant-Unrented,Yes,0,,1995,,,,2025-05-20,,,0,1995,2026-04-02,,1886,1652,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2395,No,No,"10616 Jackson Hole Lane McKinney, TX 75072  (City and HOA Reg must) - 10616 Jackson Hole Lane McKinney, TX 75072","10616 Jackson Hole Lane McKinney, TX 75072  (City and HOA Reg must)",,No,,"10616 Jackson Hole Lane McKinney, TX 75072",10616 Jackson Hole Lane,,McKinney,TX,75072,"10616 Jackson Hole Lane McKinney, TX 75072  (City and HOA Reg must)",,,3/2.00,2058,Vacant-Rented,Yes,13,2699.65,2395,2400,2024-12-22,2026-05-31,,2026-06-26,,0,2395,2026-05-24,2026-06-10,1808,1574,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2195,Yes,Yes,"1111 Meadow Side Dr - 1111 Meadow Side Dr Princeton, TX 75407",1111 Meadow Side Dr,,Yes,,"1111 Meadow Side Dr Princeton, TX 75407",1111 Meadow Side Dr,,Princeton,TX,75407,1111 Meadow Side Dr,,,4/4,1567,Vacant-Unrented,Yes,3,1942.5,2195,,2024-10-26,2026-05-30,2026-06-11,,,0,2195,2026-06-11,2026-06-09,1767,"Mahadevia Properties LLC (kartavya, monal, shailesh)",Jay Rupareliya: jay_r@vprealtyservices.com: 903-213-5286 (#2)
,No,No,"111111 example property example, TX 75402","111111 example property example, TX 75402",,No,,"111111 example property example, TX 75402",111111 example property,,example,TX,75402,111111 example property,,,,,Vacant-Unrented,No,287,1000,,,2025-06-01,2025-08-30,2025-09-09,,,0,,2025-09-09,2025-09-09,1963,1729,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
,No,No,"11392 blackwater Trl, Frisco TX 75035 - 11392 blackwater Trl, Frisco, TX 75035","11392 blackwater Trl, Frisco TX 75035",,No,,"11392 blackwater Trl, Frisco, TX 75035","11392 blackwater Trl,",,Frisco,TX,75035,"11392 blackwater Trl, Frisco TX 75035",,,3/3.00,2715,Vacant-Unrented,Yes,0,,,,,,,,,0,,,,2036,1801,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1895,Yes,Yes,"1149 Beaverwood Lane Crowley, TX 76036","1149 Beaverwood Lane Crowley, TX 76036",,Yes,,"1149 Beaverwood Lane Crowley, TX 76036",1149 Beaverwood Lane,,Crowley,TX,76036,1149 Beaverwood Lane,,,3/2,1552,Vacant-Rented,No,61,,1895,,,,2026-03-19,2026-06-29,"Go and see it any time. The home is vacant. code is 6937

Incredible, BRAND NEW HOME, 2022 new construction home is located in Lasater Ranch, a beautiful neighbourhood in Crowley, Texas. This one-story home features a stylish and functional layout with three bedrooms, two bathrooms, a spacious family room and more. The chef-ready kitchen with its sparkling granite countertops, oversized wood cabinetry, full suite of energy-efficient appliances and easy access to the dining room, create a functional area for preparing your family's meals. In addition, this home comes with designer-selected upgrades included at no extra cost such as luxury vinyl-plank flooring, a Wi-Fi-enabled garage door opener, programmable thermostat and more.

- Home is available immediately.
- Pets are welcome ($500 refundable per pet)
- HOA is paid by owners.
- Needs to bring Washer-Dryer
- No housing vouchers, no section 8
- Longer lease is preferred
- $65 per adult application fee.
- Apply at vprealtyservices.com
- Application has to be online only at VP Realty, No Tar applications
- Mention your broker name and number in online application if applicable

If you don't see home on VP Realty website then it means it is leased.
Text 214 597 0294 or leave VM for a live agent

This is the link for the application process and qualification criteria
https://tinyurl.com/y3a97pmc",0,1895,2026-04-14,,582,"Series LLC, RFour-Beaverwood,",Sana Saiyed: sana@vprealtyservices.com: 903-225-9627 (#5)
3295,Yes,Yes,"1200 Talley Lane (Owner Approval must) Frisco, TX 75033","1200 Talley Lane (Owner Approval must) Frisco, TX 75033",,No,,"1200 Talley Lane (Owner Approval must) Frisco, TX 75033",1200 Talley Lane,(Owner Approval must),Frisco,TX,75033,1200 Talley Lane,,,4/2,3411,Notice-Unrented,Yes,25,3395,3295,,2024-07-15,2026-06-30,2026-07-10,,,0,3295,2026-05-20,2026-07-10,1718,"Paleti, Chetan",Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075 (#11)
2195,Yes,Yes,"1205 Colonial Bluff Lane, Princeton, Texas 75407 - 1205 Colonial Bluff Lane, Princeton, TX 75407 Princeton, TX 75407","1205 Colonial Bluff Lane, Princeton, Texas 75407",,No,,"1205 Colonial Bluff Lane, Princeton, TX 75407 Princeton, TX 75407","1205 Colonial Bluff Lane, Princeton, TX 75407",,Princeton,TX,75407,"1205 Colonial Bluff Lane, Princeton, Texas 75407",,,4/2,2039,Vacant-Unrented,Yes,9,,2195,,,,2026-07-01,,,0,2195,2026-06-05,,2071,"Tamminaina , Purnarao",Husna  Siddiqui: husna@vprealtyservices.com: 903-751-5965 (#5)
2395,Yes,Yes,"1206 Periwinkle Dr Wylie, TX 75098","1206 Periwinkle Dr Wylie, TX 75098",,No,,"1206 Periwinkle Dr Wylie, TX 75098",1206 Periwinkle Dr,,Wylie,TX,75098,1206 Periwinkle Dr,,,3/2,1857,Vacant-Unrented,Yes,12,,2395,,,,2026-06-13,,,0,2395,2026-06-02,,2069,"Jhaveri, Mihir",Uzma Urooj: uzma@vprealtyservices.com: 972-591-8905 (#8)
2095,No,No,"122 Secretariat Ln, Caddo Mills, TX 75135(Lease Only) (City and HOA Reg must) - 122 Secretariat Ln (VS Approval MUST) Caddo Mills, TX 75135","122 Secretariat Ln, Caddo Mills, TX 75135(Lease Only) (City and HOA Reg must)",,Yes,,"122 Secretariat Ln (VS Approval MUST) Caddo Mills, TX 75135",122 Secretariat Ln (VS Approval MUST),,Caddo Mills,TX,75135,"122 Secretariat Ln, Caddo Mills, TX 75135(Lease Only) (City and HOA Reg must)",,,4/2.00,1880,Notice-Rented,Yes,,1945,2095,2095,2025-10-01,2026-06-30,,2026-07-05,,0,2095,2026-05-25,2026-07-10,1583,1351,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2850,No,No,"12355 Ducks Landing - 12355 Ducks Landing Frisco, TX 75033",12355 Ducks Landing,,Yes,,"12355 Ducks Landing Frisco, TX 75033",12355 Ducks Landing,,Frisco,TX,75033,12355 Ducks Landing,,,4/3.00,2651,Vacant-Unrented,Yes,0,,2850,,,,2026-05-15,,,0,2850,2026-05-10,,257,283,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2495,Yes,No,"12475 Cajun Dr - 12475 Cajun Dr Frisco, TX 75035",12475 Cajun Dr,,No,,"12475 Cajun Dr Frisco, TX 75035",12475 Cajun Dr,,Frisco,TX,75035,12475 Cajun Dr,,,4/2.50,2334,Notice-Unrented,Yes,27,2500,2495,,2023-05-14,2026-06-30,2026-07-05,,"Uzma, uzma@vprealtyservices.com, (972) 591-8905â¬
https://www.vprealtyservices.com/listings/detail/fe7ddedf-cb8f-44a8-bc25-b02c0c59de13",0,2495,2026-05-18,2026-07-10,160,"Trivedi, Hitarth",Uzma Urooj: uzma@vprealtyservices.com: 972-591-8905 (#8)
3595,No,No,"12813 Sherbrooke Dr Frisco, TX 75035","12813 Sherbrooke Dr Frisco, TX 75035",,Yes,,"12813 Sherbrooke Dr Frisco, TX 75035",12813 Sherbrooke Dr,,Frisco,TX,75035,12813 Sherbrooke Dr,,,4/3.50,3666,Vacant-Rented,Yes,13,3795,3595,,2023-02-15,2026-05-31,2026-06-10,2026-06-23,,0,3595,2026-04-18,2026-06-10,1411,1179,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
,No,No,"12873 Kiltartan Dr - 12873 Kiltartan Dr, Frisco, TX 75035",12873 Kiltartan Dr,,No,,"12873 Kiltartan Dr, Frisco, TX 75035","12873 Kiltartan Dr,",,Frisco,TX,75035,12873 Kiltartan Dr,,,,,Vacant-Unrented,Yes,0,,,,,,,,,0,,,,2073,1837,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2050,No,No,"12873 Kiltartan Drive - 12873 Kiltartan Drive Frisco, TX 75035",12873 Kiltartan Drive,,No,,"12873 Kiltartan Drive Frisco, TX 75035",12873 Kiltartan Drive,,Frisco,TX,75035,12873 Kiltartan Drive,,,3/2.00,1663,Vacant-Rented,Yes,0,,2050,,,,,2026-07-01,,0,2050,,,2075,1839,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1995,Yes,Yes,"1300 Land Oak Road Royse City, TX 75189","1300 Land Oak Road Royse City, TX 75189",,No,,"1300 Land Oak Road Royse City, TX 75189",1300 Land Oak Road,,Royse City,TX,75189,1300 Land Oak Road,,,3/2.50,1970,Notice-Unrented,Yes,27,0,1995,,2023-07-01,2026-06-30,2026-07-05,,,0,1995,2026-05-18,2026-07-10,1482,"Parikh, Rahul",Jeel Hemrajani: jeel@vprealtyservices.com: 903-776-4548 (#7)
2495,No,No,"1300 Poplar Dr McKinney, TX 75072 - 1300 Poplar Dr McKinney, TX 75072","1300 Poplar Dr McKinney, TX 75072",,Yes,,"1300 Poplar Dr McKinney, TX 75072",1300 Poplar Dr,,McKinney,TX,75072,"1300 Poplar Dr McKinney, TX 75072",,,4/2.00,2293,Vacant-Rented,Yes,0,,2495,2495,,,,2026-06-15,,0,2495,2026-03-19,,2022,1787,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2895,No,No,"1305 Auburn Wylie, TX 75098","1305 Auburn Wylie, TX 75098",,No,,"1305 Auburn Wylie, TX 75098",1305 Auburn,,Wylie,TX,75098,1305 Auburn,,,6/2.50,3076,Vacant-Unrented,No,42,3095,2895,,2020-07-01,2026-05-02,2026-05-12,,,0,2895,2026-05-12,2026-05-12,215,238,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2395,No,No,"1317 Rusk Drive, Allen, TX 75002 - 1317 Rusk Drive Allen, TX 75002","1317 Rusk Drive, Allen, TX 75002",,No,,"1317 Rusk Drive Allen, TX 75002",1317 Rusk Drive,,Allen,TX,75002,"1317 Rusk Drive, Allen, TX 75002",LS_01_1313R,,4/2.50,2636,Vacant-Unrented,No,69,2395,2395,,2024-08-01,2026-04-05,2026-04-15,,,0,2395,2026-04-15,2026-04-15,328,355,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3495,No,No,"13486 Mercedes LN  (service fee ) Drive Frisco, TX 75035","13486 Mercedes LN  (service fee ) Drive Frisco, TX 75035",,Yes,,"13486 Mercedes LN  (service fee ) Drive Frisco, TX 75035",13486 Mercedes LN  (service fee ),Drive,Frisco,TX,75035,13486 Mercedes LN  (service fee ),,,5/4.50,4032,Vacant-Unrented,No,13,,3495,,2024-10-15,2026-05-31,2026-06-10,,,0,3495,2026-06-10,2026-06-10,251,276,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2395,No,No,"1404 Deerfield Drive, Anna, TX 75409 (City Reg Must) - 1404 Deerfield Drive Anna, TX 75409","1404 Deerfield Drive, Anna, TX 75409 (City Reg Must)",,No,,"1404 Deerfield Drive Anna, TX 75409",1404 Deerfield Drive,,Anna,TX,75409,"1404 Deerfield Drive, Anna, TX 75409 (City Reg Must)",,,4/2.50,2245,Vacant-Unrented,No,103,2500,2395,,2023-05-12,2026-03-02,2026-03-12,,"Go and Show anytime, Lockbox Code is 1975. 

Located in the desirable city of Anna, TX. This one and a half story home features 9' ceilings, white cabinets, white countertops and an open concept plan with a game room and half bath upstairs. 4 full bedrooms and 2 full baths on the main floor. 

- Home is available immediately
- Pets are welcome ($500 refundable per pet)
- HOA is paid by owners.
- Needs to bring Washer-Dryer-Refrigerator.
- No housing vouchers, no section 8
- Longer lease is preferred
- $55 per adult application fee
- Apply at vprealtyservices.com
- Application has to be online only at VP Realty, No Tar applications
- Mention your broker name and number in online application if applicable

If you don't see home on VP Realty website then it means it is leased.
Text 214 597 0294 or leave VM for a live agent

This is the link for the application process and qualification criteria
https://tinyurl.com/ycksezpk",0,2395,2026-03-12,2026-03-12,1442,1210,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1950,No,No,"1409 Rosson Rd Little Elm, TX 75068  (City and HOA Reg Must) - 1409 Rosson Rd Little Elm, TX 75068","1409 Rosson Rd Little Elm, TX 75068  (City and HOA Reg Must)",,Yes,,"1409 Rosson Rd Little Elm, TX 75068",1409 Rosson Rd,,Little Elm,TX,75068,"1409 Rosson Rd Little Elm, TX 75068  (City and HOA Reg Must)",,,3/2.00,1883,Vacant-Rented,Yes,14,2145,1950,1950,2025-03-25,2026-05-30,,2026-07-01,,0,1950,2026-04-22,2026-06-09,1847,1613,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2695,No,No,"1417 Lampasas Drive - 1417 Lampasas Drive Allen, TX 75013",1417 Lampasas Drive,,No,,"1417 Lampasas Drive Allen, TX 75013",1417 Lampasas Drive,,Allen,TX,75013,1417 Lampasas Drive,,,4/2.50,2924,Vacant-Unrented,No,1064,2795,2695,,2018-08-18,2023-07-15,2026-04-12,,,0,2695,2026-04-12,2023-07-25,162,30,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
695,No,No,"1506 N GreenVille Ave #220 Allen, TX 75002","1506 N GreenVille Ave #220 Allen, TX 75002",,No,,"1506 N GreenVille Ave #220 Allen, TX 75002",1506 N GreenVille Ave #220,,Allen,TX,75002,1506 N GreenVille Ave #220,,,1,,Vacant-Unrented,No,1079,500,695,,2022-09-01,2023-06-30,2023-07-10,,,0,695,2024-09-12,2023-07-10,536,852,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3595,No,No,"15103 Springwood Drive Frisco, TX 75035","15103 Springwood Drive Frisco, TX 75035",,No,,"15103 Springwood Drive Frisco, TX 75035",15103 Springwood Drive,,Frisco,TX,75035,15103 Springwood Drive,,,4/3.00,2900,Vacant-Unrented,No,74,3595,3595,,2024-12-07,2026-03-31,2026-04-10,,,0,3595,2026-04-10,2026-04-10,1766,1533,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1695,No,No,"1516 Chama Dr Fort Worth, TX 76119","1516 Chama Dr Fort Worth, TX 76119",,Yes,,"1516 Chama Dr Fort Worth, TX 76119",1516 Chama Dr,,Fort Worth,TX,76119,1516 Chama Dr,,,3/2.50,1625,Vacant-Rented,Yes,74,1650,1695,1695,2025-11-01,2026-03-31,,2026-06-25,,0,1695,2026-03-26,2026-04-10,1671,1439,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2395,Yes,Yes,"1526 Forever Way Princeton, TX 75407","1526 Forever Way Princeton, TX 75407",,Yes,,"1526 Forever Way Princeton, TX 75407",1526 Forever Way,,Princeton,TX,75407,1526 Forever Way,,,4/2,2618,Vacant-Unrented,Yes,74,,2395,,,,2026-04-01,,,0,2395,2026-04-01,,2045,"Kumar Vaka, Kiran",Mounika Toodi: mounika@vprealtyservices.com: 903-776-4492 (#5)
2995,No,No,"1532 Tanglewood - 1532 Tanglewood Allen, TX 75002",1532 Tanglewood,,No,,"1532 Tanglewood Allen, TX 75002",1532 Tanglewood,,Allen,TX,75002,1532 Tanglewood,,,4/2.00,2784,Vacant-Unrented,No,39,3080,2995,,2018-01-12,2026-05-05,2026-05-15,,,0,2995,2026-05-20,2026-05-15,112,39,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2195,No,No,"1604 Goodwin Dr Aubrey, TX 76227","1604 Goodwin Dr Aubrey, TX 76227",,No,,"1604 Goodwin Dr Aubrey, TX 76227",1604 Goodwin Dr,,Aubrey,TX,76227,1604 Goodwin Dr,,,5/3.50,2795,Vacant-Unrented,No,66,2295,2195,,2024-08-15,2026-04-08,2026-04-18,,,0,2195,2026-04-18,2026-04-18,1382,1150,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3750,No,No,"1650 Chisholm Trail Prosper, TX 75078","1650 Chisholm Trail Prosper, TX 75078",,No,,"1650 Chisholm Trail Prosper, TX 75078",1650 Chisholm Trail,,Prosper,TX,75078,1650 Chisholm Trail,,,5/4.50,4042,Vacant-Unrented,No,74,3650,3750,,2024-12-05,2026-03-31,2026-04-10,,,0,3750,2026-04-10,2026-04-10,1759,1526,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2695,No,No,"1665 Princess Lane ( HOA Reg Must ) Frisco, TX 75036","1665 Princess Lane ( HOA Reg Must ) Frisco, TX 75036",,Yes,,"1665 Princess Lane ( HOA Reg Must ) Frisco, TX 75036",1665 Princess Lane ( HOA Reg Must ),,Frisco,TX,75036,1665 Princess Lane ( HOA Reg Must ),,,5/3.00,3655,Vacant-Unrented,No,44,2695,2695,,2025-07-20,2026-04-30,2026-05-10,,,0,2695,2026-05-10,2026-05-10,220,243,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
